,0,1,accuracy,macro avg,weighted avg
precision,0.9032258064516129,0.8917089678510999,0.8976052848885219,0.8974673871513563,0.897643325643602
recall,0.8974358974358975,0.8977853492333902,0.8976052848885219,0.8976106233346438,0.8976052848885219
f1-score,0.9003215434083601,0.894736842105263,0.8976052848885219,0.8975291927568116,0.897614508177214
support,624.0,587.0,0.8976052848885219,1211.0,1211.0
