,0,1,accuracy,macro avg,weighted avg
precision,0.9112903225806451,0.8866666666666667,0.8991803278688525,0.8989784946236559,0.8994427110876079
recall,0.8925750394944708,0.9063032367972743,0.8991803278688525,0.8994391381458726,0.8991803278688525
f1-score,0.9018355945730248,0.8963774220724516,0.8991803278688525,0.8991065083227382,0.8992094082961097
support,633.0,587.0,0.8991803278688525,1220.0,1220.0
