,0,1,accuracy,macro avg,weighted avg
precision,0.8912,0.8710217755443886,0.881342062193126,0.8811108877721943,0.8814906743208679
recall,0.8785488958990536,0.8843537414965986,0.881342062193126,0.8814513186978261,0.881342062193126
f1-score,0.8848292295472597,0.8776371308016878,0.881342062193126,0.8812331801744737,0.8813685470084739
support,634.0,588.0,0.881342062193126,1222.0,1222.0
