,sz,td,accuracy,macro avg,weighted avg
precision,0.5316455696202531,0.5870967741935483,0.5591054313099042,0.5593711719069008,0.5608770352898815
recall,0.5675675675675675,0.5515151515151515,0.5591054313099042,0.5595413595413595,0.5591054313099042
f1-score,0.5490196078431372,0.5687499999999999,0.5591054313099042,0.5588848039215686,0.5594206132932406
support,148.0,165.0,0.5591054313099042,313.0,313.0
