,sz,td,accuracy,macro avg,weighted avg
precision,0.6571428571428571,0.7426470588235294,0.6945337620578779,0.6998949579831932,0.7014070901672567
recall,0.7666666666666667,0.6273291925465838,0.6945337620578779,0.6969979296066253,0.6945337620578779
f1-score,0.7076923076923077,0.6801346801346801,0.6945337620578779,0.6939134939134939,0.6934261403714781
support,150.0,161.0,0.6945337620578779,311.0,311.0
