,sz,td,accuracy,macro avg,weighted avg
precision,0.8365384615384616,0.711340206185567,0.7550335570469798,0.7739393338620143,0.7714185636200097
recall,0.6083916083916084,0.8903225806451613,0.7550335570469798,0.749357094518385,0.7550335570469798
f1-score,0.7044534412955465,0.7908309455587395,0.7550335570469798,0.747642193427143,0.7493813378082811
support,143.0,155.0,0.7550335570469798,298.0,298.0
