,predictor_name,coef,fold
112,F0env_sma_linregc1,0.8319350605652716,1
113,F0env_sma_linregerrQ,1.0441515201070366,1
114,F0env_sma_stddev,0.8632576814541412,1
115,F0env_sma_kurtosis,0.8925243354959544,1
116,F0env_sma_iqr1.2,-0.45179870633532915,1
117,pcm_intensity_sma_de_minPos,-0.5993398122428606,1
118,pcm_intensity_sma_de_quartile3,-0.4286307501166186,1
119,pcm_intensity_sma_de_iqr2.3,-0.43663607958164935,1
120,pcm_loudness_sma_de_max,-1.1359770729614476,1
121,pcm_loudness_sma_de_amean,-0.6784494256804495,1
122,mfcc_sma_de.1._max,0.5539385965423131,1
123,mfcc_sma_de.1._min,1.2414988703168015,1
124,mfcc_sma_de.1._maxPos,-0.8068709681013856,1
125,mfcc_sma_de.1._minPos,0.9649055552078526,1
126,mfcc_sma_de.1._skewness,-1.9335383331331149,1
127,mfcc_sma_de.1._quartile2,1.5477891036370401,1
128,mfcc_sma_de.1._quartile3,0.7705981794016822,1
129,mfcc_sma_de.2._minPos,-0.7975539926709829,1
130,mfcc_sma_de.2._amean,-0.29066363447368365,1
131,mfcc_sma_de.2._linregerrA,-1.4435786592449635,1
132,mfcc_sma_de.2._quartile3,-0.9782768938424706,1
133,mfcc_sma_de.2._iqr1.2,-1.2547626901717566,1
134,mfcc_sma_de.2._iqr1.3,-1.3016961697943523,1
135,mfcc_sma_de.3._maxPos,-0.7008587685680835,1
136,mfcc_sma_de.3._skewness,0.5832121220712905,1
137,mfcc_sma_de.3._quartile2,-0.8156082656951744,1
138,mfcc_sma_de.4._maxPos,-0.8568231027490371,1
139,mfcc_sma_de.4._amean,-0.40288741451558324,1
140,mfcc_sma_de.4._quartile2,-0.7225528079783591,1
141,mfcc_sma_de.4._iqr1.2,-1.0724904476921269,1
142,mfcc_sma_de.5._max,-0.11335115604135179,1
143,mfcc_sma_de.5._skewness,-0.6004117171102142,1
144,mfcc_sma_de.5._quartile2,0.4068020175847664,1
145,mfcc_sma_de.5._iqr2.3,-1.0468352859430088,1
146,mfcc_sma_de.6._linregc2,-1.3797140559966525,1
147,mfcc_sma_de.6._quartile3,-1.1098295345583524,1
148,mfcc_sma_de.6._iqr1.2,-0.8054374064685405,1
149,mfcc_sma_de.7._min,-0.5664677650414268,1
150,mfcc_sma_de.7._linregc2,-1.4037987268434853,1
151,mfcc_sma_de.7._skewness,-0.7523105277320341,1
152,mfcc_sma_de.8._kurtosis,0.25552402978732386,1
153,mfcc_sma_de.8._quartile2,-0.8388189889605835,1
154,mfcc_sma_de.8._iqr1.2,-0.43960751619543326,1
155,mfcc_sma_de.9._quartile1,-0.959635628663179,1
156,mfcc_sma_de.9._quartile2,-0.24129957053382517,1
157,mfcc_sma_de.10._maxPos,0.7453430120586474,1
158,mfcc_sma_de.10._linregc2,-1.0496081177450614,1
159,mfcc_sma_de.10._skewness,-1.1082349209463702,1
160,mfcc_sma_de.10._kurtosis,0.689844355402983,1
161,mfcc_sma_de.11._min,0.5470649608552651,1
162,mfcc_sma_de.11._maxPos,-0.48264767913689255,1
163,mfcc_sma_de.11._linregc2,-1.0814942362452935,1
164,mfcc_sma_de.11._linregerrQ,-1.7312388586680074,1
165,mfcc_sma_de.11._quartile3,-0.9486906055346171,1
166,mfcc_sma_de.12._minPos,0.7123499747892469,1
167,mfcc_sma_de.12._skewness,1.3797367166390753,1
168,mfcc_sma_de.12._iqr2.3,-0.18539349246145306,1
169,lspFreq_sma_de.0._min,-0.7541016555823569,1
170,lspFreq_sma_de.0._minPos,-0.7099163897347202,1
171,lspFreq_sma_de.0._quartile2,-0.6386180049371059,1
172,lspFreq_sma_de.0._iqr2.3,1.315110310272171,1
173,lspFreq_sma_de.1._minPos,0.9914592035546086,1
174,lspFreq_sma_de.1._amean,0.47198771593155464,1
175,lspFreq_sma_de.1._quartile3,1.5017995536521642,1
176,lspFreq_sma_de.2._maxPos,0.4332443809552723,1
177,lspFreq_sma_de.2._minPos,0.7434046593869055,1
178,lspFreq_sma_de.2._amean,0.8627375228230274,1
179,lspFreq_sma_de.3._min,0.3414811817038813,1
180,lspFreq_sma_de.3._maxPos,-0.4217860840434944,1
181,lspFreq_sma_de.3._kurtosis,-0.2749070845772691,1
182,lspFreq_sma_de.3._iqr1.2,0.7379436958859894,1
183,lspFreq_sma_de.4._max,0.7831727593777902,1
184,lspFreq_sma_de.4._kurtosis,0.9793959128644699,1
185,lspFreq_sma_de.4._quartile3,0.6404923436412616,1
186,lspFreq_sma_de.4._iqr1.2,0.490943515815041,1
187,lspFreq_sma_de.4._iqr1.3,0.552309511421778,1
188,lspFreq_sma_de.5._linregc2,0.47129258591595435,1
189,lspFreq_sma_de.5._kurtosis,1.9401276406023977,1
190,lspFreq_sma_de.6._quartile3,0.9273268129310593,1
191,lspFreq_sma_de.6._iqr2.3,0.4978543955990868,1
192,lspFreq_sma_de.6._iqr1.3,0.8336247698753296,1
193,lspFreq_sma_de.7._min,0.39295200750931425,1
194,lspFreq_sma_de.7._linregc2,0.7315238641730382,1
195,lspFreq_sma_de.7._skewness,0.19246884023213398,1
196,pcm_zcr_sma_de_min,-0.6962396272520739,1
197,pcm_zcr_sma_de_maxPos,-0.5775361740407918,1
198,pcm_zcr_sma_de_linregc2,0.36105301764248293,1
199,voiceProb_sma_de_minPos,0.47780651911963257,1
200,voiceProb_sma_de_linregc1,0.3500846340256706,1
201,voiceProb_sma_de_linregerrQ,-2.32918334305904,1
202,voiceProb_sma_de_quartile3,0.0063106645422838364,1
203,voiceProb_sma_de_iqr2.3,0.3231620251922792,1
204,F0_sma_de_max,-0.909556512202931,1
205,F0_sma_de_linregc1,0.4378481164382102,1
206,F0_sma_de_skewness,-0.9686352235369194,1
207,F0_sma_de_quartile2,0.6561025207456264,1
208,F0_sma_de_quartile3,1.0838788038458353,1
209,F0env_sma_de_min,-0.8940878907370006,1
