,0,1,accuracy,macro avg,weighted avg
precision,0.5833333333333334,0.5286624203821656,0.5559105431309904,0.5559978768577495,0.5574825502126534
recall,0.5515151515151515,0.5608108108108109,0.5559105431309904,0.5561629811629811,0.5559105431309904
f1-score,0.5669781931464175,0.5442622950819672,0.5559105431309904,0.5556202441141924,0.5562371295248884
support,165.0,148.0,0.5559105431309904,313.0,313.0
