,sz,td,accuracy,macro avg,weighted avg
precision,0.5857142857142857,0.6211180124223602,0.6046511627906976,0.603416149068323,0.6042983017271621
recall,0.5734265734265734,0.6329113924050633,0.6046511627906976,0.6031689829158184,0.6046511627906976
f1-score,0.5795053003533569,0.6269592476489028,0.6046511627906976,0.6032322740011298,0.6044146813257697
support,143.0,158.0,0.6046511627906976,301.0,301.0
