,0,1,accuracy,macro avg,weighted avg
precision,0.6166666666666667,0.6557377049180327,0.6324503311258278,0.6362021857923497,0.6359434371946585
recall,0.7254901960784313,0.5369127516778524,0.6324503311258278,0.6312014738781418,0.6324503311258278
f1-score,0.6666666666666666,0.5904059040590406,0.6324503311258278,0.6285362853628536,0.629041323525818
support,153.0,149.0,0.6324503311258278,302.0,302.0
