Feature set 1;Feature set 2;Feature set 3;Feature set 4;Feature set 5
;lspFreq_sma.7._maxPos;;;
;mfcc_sma.4._max;;;
;mfcc_sma.2._skewness;;;
;mfcc_sma_de.4._kurtosis;;;
;lspFreq_sma.4._maxPos;;;
;mfcc_sma.11._minPos;;;
;F0env_sma_de_range;;;
;pcm_loudness_sma_de_max;;;
;lspFreq_sma.3._iqr1.2;;;
;voiceProb_sma_amean;;;
;voiceProb_sma_de_min;;;
;mfcc_sma_de.2._max;;;
;mfcc_sma_de.6._max;;;
;mfcc_sma.7._quartile1;;;
;lspFreq_sma_de.3._kurtosis;;;
;mfcc_sma_de.12._maxPos;;;
;mfcc_sma.5._iqr1.2;;;
;lspFreq_sma.6._linregc1;;;
;mfcc_sma.12._iqr2.3;;;
;pcm_loudness_sma_de_kurtosis;;;
;mfcc_sma.11._kurtosis;;;
;mfcc_sma.8._linregc2;;;
;pcm_zcr_sma_de_skewness;;;
;mfcc_sma_de.6._range;;;
;pcm_loudness_sma_maxPos;;;
;mfcc_sma_de.5._maxPos;;;
;F0_sma_de_max;;;
;mfcc_sma.9._maxPos;;;
;mfcc_sma_de.5._min;;;
;lspFreq_sma_de.3._quartile1;;;
;lspFreq_sma.2._maxPos;;;
;mfcc_sma_de.9._min;;;
;F0env_sma_de_maxPos;;;
;F0env_sma_linregerrQ;;;
;mfcc_sma.10._iqr1.3;;;
;lspFreq_sma.0._max;;;
;mfcc_sma_de.8._linregc2;;;
;mfcc_sma.10._min;;;
;mfcc_sma.1._iqr1.3;;;
;mfcc_sma.4._skewness;;;
;lspFreq_sma_de.5._skewness;;;
;pcm_intensity_sma_iqr1.2;;;
;pcm_zcr_sma_minPos;;;
;lspFreq_sma.0._minPos;;;
;lspFreq_sma_de.7._minPos;;;
;mfcc_sma_de.11._amean;;;
;lspFreq_sma_de.4._quartile2;;;
;mfcc_sma.9._iqr2.3;;;
;mfcc_sma.4._minPos;;;
;mfcc_sma_de.10._linregerrQ;;;
;lspFreq_sma.0._iqr2.3;;;
;F0env_sma_iqr2.3;;;
;mfcc_sma.12._max;;;
;lspFreq_sma_de.3._skewness;;;
;mfcc_sma_de.12._iqr1.2;;;
;lspFreq_sma.1._amean;;;
;mfcc_sma_de.10._quartile1;;;
;mfcc_sma.11._quartile1;;;
;mfcc_sma_de.11._stddev;;;
;F0env_sma_de_min;;;
;pcm_intensity_sma_de_quartile1;;;
